tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
1	short	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
2	short	Le clown et ses chiens	Le clown et ses chiens	0	1892	\N	5	Animation,Short
3	short	Pauvre Pierrot	Pauvre Pierrot	0	1892	\N	4	Animation,Comedy,Romance
4	short	Un bon bock	Un bon bock	0	1892	\N	\N	Animation,Short
5	short	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Comedy,Short
6	short	Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
7	short	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
8	short	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
9	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
10	short	Exiting the Factory	La sortie de l'usine Lumière à Lyon	0	1895	\N	1	Documentary,Short
11	short	Akrobatisches Potpourri	Akrobatisches Potpourri	0	1895	\N	1	Documentary,Short
12	short	The Arrival of a Train	L'arrivée d'un train à La Ciotat	0	1896	\N	1	Action,Documentary,Short
13	short	The Photographical Congress Arrives in Lyon	Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon	0	1895	\N	1	Documentary,Short
14	short	The Sprinkler Sprinkled	L'arroseur arrosé	0	1895	\N	1	Comedy,Short
15	short	Autour d'une cabine	Autour d'une cabine	0	1894	\N	2	Animation,Short
16	short	Barque sortant du port	Barque sortant du port	0	1895	\N	1	Documentary,Short
17	short	Italienischer Bauerntanz	Italienischer Bauerntanz	0	1895	\N	1	Documentary,Short
18	short	Das boxende Känguruh	Das boxende Känguruh	0	1895	\N	1	Short
19	short	The Clown Barber	The Clown Barber	0	1898	\N	\N	Comedy,Short
20	short	The Derby 1895	The Derby 1895	0	1895	\N	1	Documentary,Short,Sport
21	short	Blacksmith Scene	Les forgerons	0	1895	\N	1	Documentary,Short
22	short	The Sea	Baignade en mer	0	1895	\N	1	Documentary,Short
23	short	Opening of the Kiel Canal	Opening of the Kiel Canal	0	1895	\N	\N	News,Short
24	short	The Oxford and Cambridge University Boat Race	The Oxford and Cambridge University Boat Race	0	1895	\N	\N	News,Short,Sport
25	short	The Messers. Lumière at Cards	Partie d'écarté	0	1896	\N	1	Documentary,Short
26	short	Cordeliers' Square in Lyon	Place des Cordeliers à Lyon	0	1895	\N	1	Documentary,Short
27	short	Fishing for Goldfish	La pêche aux poissons rouges	0	1895	\N	1	Documentary,Short
28	short	Baby's Dinner	Repas de bébé	0	1895	\N	1	Documentary,Short
29	short	Rough Sea at Dover	Rough Sea at Dover	0	1895	\N	1	Documentary,Short
